Name,Information
ABBOTTS BABBLER, The Abbott's Babbler is a small bird species found in Southeast Asia; particularly in Thailand and Vietnam. They are known for their distinctive and loud calls; which can often be heard before the birds are seen.
ABBOTTS BOOBY, The Abbott's Booby is a seabird species found in the Indian and Pacific Oceans; particularly around Christmas Island and the Cocos (Keeling) Islands. They are known for their distinctive blue-grey plumage and their tendency to nest in large colonies.
ABYSSINIAN GROUND HORNBILL, The Abyssinian Ground Hornbill is a large bird species found in sub-Saharan Africa. They are known for their distinctive; downward-curved bill and their habit of walking on the ground rather than flying.
AFRICAN CROWNED CRANE, The African Crowned Crane is a bird species found in sub-Saharan Africa. They are known for their distinctive crown of golden feathers on their head and their elaborate courtship dance.
AFRICAN EMERALD CUCKOO, The African Emerald Cuckoo is a small bird species found in sub-Saharan Africa. They are known for their bright green plumage and their habit of laying their eggs in the nests of other bird species.
AFRICAN FIREFINCH, The African Firefinch is a small bird species found in sub-Saharan Africa. They are known for their bright red plumage and their habit of feeding on grass seeds and insects.
AFRICAN OYSTER CATCHER, The African Oyster Catcher is a bird species found along the coasts of sub-Saharan Africa. They are known for their distinctive black and white plumage and their habit of feeding on mollusks and other small marine creatures.
AFRICAN PIED HORNBILL, The African Pied Hornbill is a bird species found in sub-Saharan Africa. They are known for their distinctive black and white plumage and their habit of nesting in tree cavities.
AFRICAN PYGMY GOOSE, The African Pygmy Goose is a small bird species found in sub-Saharan Africa. They are known for their bright green plumage and their habit of feeding on aquatic plants.
ALBATROSS, The Albatross is a seabird species found in the southern oceans. They are known for their large wingspan and their habit of spending most of their lives at sea.
ALBERTS TOWHEE, Albert's Towhee is a bird species found in the southwestern United States and Mexico. They are known for their brown and white plumage and their habit of foraging on the ground for seeds and insects.
ALEXANDRINE PARAKEET, The Alexandrine Parakeet is a bird species found in South Asia. They are known for their bright green plumage and their habit of feeding on fruits and seeds.
ALPINE CHOUGH, The Alpine Chough is a bird species found in the mountains of Europe and Asia. They are known for their distinctive black plumage and their habit of foraging for insects and small animals in rocky areas.
ALTAMIRA YELLOWTHROAT, The Altamira Yellowthroat is a bird species found in Mexico and Central America. They are known for their bright yellow plumage and their habit of foraging for insects and small animals in marshy areas.
AMERICAN AVOCET, The American Avocet is a bird species found in North and Central America. They are known for their distinctive long; curved bill and their habit of wading in shallow water to feed on insects and small animals.
AMERICAN BITTERN, The American Bittern is a medium-sized heron found in wetlands throughout North America. It is known for its distinctive camouflage coloring; which helps it blend in with its surroundings.
AMERICAN COOT, The American Coot is a small waterbird found throughout North America. It has a distinctive white beak and is known for its loud; cackling call.
AMERICAN FLAMINGO, The American Flamingo is a large wading bird found in parts of South America and the Caribbean. It is known for its bright pink feathers and long; slender legs.
AMERICAN GOLDFINCH, The American Goldfinch is a small; brightly colored songbird found throughout North America. It is known for its bright yellow feathers and melodious song.
AMERICAN KESTREL, The American Kestrel is a small falcon found throughout North America. It is known for its distinctive hovering flight and its ability to catch prey on the wing.
AMERICAN PIPIT, The American Pipit is a small; ground-dwelling bird found throughout North America. It is known for its distinctive call and its habit of wagging its tail while walking.
AMERICAN REDSTART, The American Redstart is a small songbird found in parts of North America. It is known for its distinctive black-and-orange plumage and its ability to catch insects on the wing.
AMERICAN ROBIN, The American Robin is a medium-sized songbird found throughout North America. It is known for its bright orange breast and its melodious song.
AMERICAN WIGEON, The American Wigeon is a medium-sized duck found throughout North America. It is known for its distinctive white forehead and its habit of dabbling for food in shallow water.
AMETHYST WOODSTAR, The Amethyst Woodstar is a small hummingbird found in parts of South America. It is known for its bright purple plumage and its habit of hovering while feeding on nectar.
ANDEAN GOOSE, The Andean Goose is a medium-sized bird found in the Andes Mountains of South America. It is known for its distinctive white breast and its habit of feeding on grasses and other vegetation.
ANDEAN LAPWING, (Vanellus resplendens) is a medium-sized wader bird found in the high-altitude Andes mountain range of South America. It has a distinctive black and white plumage; with a long pointed beak and a red eye ring. Andean Lapwings feed mainly on insects; worms; and small invertebrates; and can be found in open areas near rivers; lakes; and wetlands.
ANDEAN SISKIN, (Spinus spinescens) is a small passerine bird found in the high-altitude Andes mountain range of South America. It has a yellow-green plumage with black wings and tail; and a pointed conical beak. Andean Siskins feed mainly on seeds and can be found in alpine habitats and montane forests.
ANHINGA," (Anhinga anhinga) is a large aquatic bird found in the Americas. It has a long neck; sharp pointed beak; and a wingspan of up to 1.4 meters. Anhingas are also known as ""snakebirds"" due to their ability to swim with only their neck and head above water; resembling a snake. They feed mainly on fish and can be found near lakes; rivers; and swamps."
ANIANIAU, (Magumma parva) is a small Hawaiian honeycreeper bird. It has a bright yellow-green plumage with a black mask around its eyes. Anianiaus feed mainly on nectar and insects and can be found in montane and subalpine forests.
ANNAS HUMMINGBIRD, (Calypte anna) is a medium-sized hummingbird found on the west coast of North America; from southern Alaska to Baja California. It has a green and grey plumage with a distinctive iridescent red crown and gorget on males. Anna's hummingbirds feed mainly on nectar and insects and can be found in gardens; parks; and woodland areas.
ANTBIRD, (Thamnophilidae) is a family of small to medium-sized passerine birds found in Central and South America. They have a cryptic plumage; usually brown or black; with a round head and a short tail. Antbirds feed mainly on insects; and are often found following army ant swarms.
ANTILLEAN EUPHONIA, (Euphonia musica) is a small passerine bird found in the Caribbean. It has a yellow-green plumage with a black mask and a blue-grey throat on males. Antillean Euphonias feed mainly on fruits and can be found in forested habitats.
APAPANE, (Himatione sanguinea) is a small Hawaiian honeycreeper bird. It has a bright red plumage and a slightly curved bill. Apapanes feed mainly on nectar and can be found in montane and subalpine forests.
APOSTLEBIRD, (Struthidea cinerea) is a medium-sized passerine bird found in Australia. It has a grey-brown plumage with a distinctive crest on its head. Apostlebirds feed mainly on insects and can be found in arid and semi-arid habitats.
ARARIPE MANAKIN, (Antilophia bokermanni) is a small passerine bird found only in the Araripe Plateau in Brazil. It has a bright red and black plumage with a yellow crown on males. Araripe Manakins feed mainly on fruits and insects and can be found in forested habitats.
ASHY STORM PETREL, The Ashy Storm Petrel is a seabird that can be found along the Pacific coast of North and South America. They are known for their dark; ashy-grey plumage and their ability to fly low over the water's surface to catch their prey.
ASHY THRUSHBIRD, The Ashy Thrushbird is a small bird that can be found in the high Andes mountains of South America. They have grey and brown plumage and are known for their distinctive call; which sounds like a series of high-pitched whistles.
ASIAN CRESTED IBIS, The Asian Crested Ibis is a critically endangered bird species that is found in parts of China; Japan; and Russia. They are known for their distinctive crested head and their bright red face and legs.
ASIAN DOLLARD BIRD, The Asian Dollard Bird is a small bird that can be found in parts of Southeast Asia. They are known for their bright yellow plumage and their ability to mimic the calls of other bird species.
ASIAN GREEN BEE EATER, The Asian Green Bee Eater is a bird species that can be found in parts of South and Southeast Asia. They are known for their bright green plumage and their long; pointed bills; which they use to catch and eat bees and other flying insects.
AUCKLAND SHAQ," I couldn't find any information on a bird species called ""Auckland Shaq."" Can you provide more context or clarify the name?"
AUSTRAL CANASTERO, The Austral Canastero is a bird species that can be found in parts of South America. They are known for their brown and grey plumage and their habit of building their nests in rocky crevices.
AUSTRALASIAN FIGBIRD, The Australasian Figbird is a bird species that can be found in parts of Australia; New Guinea; and nearby islands. They are known for their green and yellow plumage and their fondness for eating figs and other fruits.
AVADAVAT, The Avadavat is a small bird species that is native to parts of Asia and Africa. They are known for their bright red plumage and their tendency to congregate in large flocks.
AZARAS SPINETAIL, The Azaras Spinetail is a bird species that can be found in parts of South America. They are known for their brown and grey plumage and their habit of building their nests in the forks of trees.
AZURE BREASTED PITTA, The Azure Breasted Pitta is a bird species that can be found in parts of Southeast Asia. They are known for their bright blue and green plumage and their distinctive; melodic calls.
AZURE JAY, The Azure Jay is a bird species that is native to parts of South America. They are known for their bright blue plumage and their loud; raucous calls.
AZURE TANAGER, The Azure Tanager is a bird species that can be found in parts of South America. They are known for their bright blue and black plumage and their tendency to gather in large flocks.
AZURE TIT, The Azure Tit is a small bird species that can be found in parts of Europe and Asia. They are known for their blue and white plumage and their acrobatic; energetic movements.
BAIKAL TEAL, The Baikal teal is a small dabbling duck that breeds in Siberia and winters in East Asia; including Korea; Japan; and China. Its breeding habitat is marshes and tundra pools; while it prefers freshwater habitats during the winter months.
BALD EAGLE, The bald eagle is a bird of prey found in North America; with a range that extends from Alaska to northern Mexico. It is a powerful bird; with a wingspan of up to 7 feet and a sharp hooked beak. The bald eagle is known for its striking appearance; with a white head and tail contrasting with its dark brown body.
BALD IBIS, The bald ibis is a critically endangered bird that is found in North Africa and the Middle East. It has distinctive bald red face and a long; curved beak. The bald ibis is a social bird; often seen in flocks.
BALI STARLING, The Bali starling is a critically endangered bird found only on the island of Bali in Indonesia. It has striking white plumage and a distinctive blue mask around its eyes. The Bali starling is known for its beautiful song and is popular in the pet trade; which has contributed to its decline in the wild.
BALTIMORE ORIOLE, The Baltimore oriole is a migratory bird that breeds in North America and winters in Central America and northern South America. It has a bright orange plumage and a black head and wings. The Baltimore oriole is known for its melodious song.
BANANAQUIT, The bananaquit is a small; colorful bird found in the Caribbean and Central and South America. It has a curved bill and a distinctive yellow throat. The bananaquit is known for its ability to extract nectar from flowers using its long; curved tongue.
BAND TAILED GUAN, The band-tailed guan is a large; turkey-like bird found in the highlands of Central and South America. It has a distinctive blue-gray head and a long; pointed tail. The band-tailed guan is known for its raucous calls and social behavior.
BANDED BROADBILL, The banded broadbill is a colorful bird found in Southeast Asia. It has bright green plumage with black and white markings and a distinctive blue throat. The banded broadbill is known for its acrobatic flying skills.
BANDED PITA, The banded pita is a small; secretive bird found in the forests of Central and South America. It has a distinctive black and white plumage and a loud; ringing call. The banded pita is known for its habit of building nests on the ground.
BANDED STILT, The banded stilt is a wading bird found in Australia; New Zealand; and parts of South America. It has a distinctive black and white plumage and long; thin legs. The banded stilt is known for its ability to walk on mudflats and other soft surfaces.
BAR-TAILED GODWIT, The bar-tailed godwit is a migratory bird found in parts of Europe; Asia; and Australia. It has a distinctive long; curved beak and a mottled brown and gray plumage. The bar-tailed godwit is known for its long-distance migrations; which are among the longest of any bird.
BARN OWL, The barn owl is a nocturnal bird found in most parts of the world; except for Antarctica and some oceanic islands. It has a heart-shaped face and a light-colored; mottled plumage. The barn owl is known for its silent flight and its ability to hunt prey in complete darkness.
BARN SWALLOW, The Barn Swallow is a migratory bird found throughout the world; known for its beautiful forked tail and distinctive blue-black and white coloring. They build cup-shaped nests out of mud and grass; and are known for their acrobatic flight patterns.
BARRED PUFFBIRD, The Barred Puffbird is a small; stocky bird found in Central and South America. They have distinctive barred plumage and a large head; and are known for their quiet and elusive nature.
BARROWS GOLDENEYE, The Barrow's Goldeneye is a medium-sized duck found in North America. They have striking black and white plumage and a distinctive round head; and are known for their diving abilities and preference for freshwater habitats.
BAY-BREASTED WARBLER, The Bay-breasted Warbler is a small songbird found in North America. They have a distinctive rusty-brown color on their head and throat; and are known for their sweet; high-pitched song.
BEARDED BARBET, The Bearded Barbet is a small; brightly colored bird found in sub-Saharan Africa. They have a distinctive beard-like plumage on their face; and are known for their sharp; metallic calls.
BEARDED BELLBIRD, The Bearded Bellbird is a large; loud bird found in Central and South America. They have distinctive tufts of feathers around their beaks; and are known for their booming; bell-like calls that can be heard from far away.
BEARDED REEDLING, The Bearded Reedling is a small; elusive bird found in wetlands across Eurasia. They have a distinctive beard-like plumage on their face and a long tail; and are known for their high-pitched calls and ability to cling to reeds and grasses.
BELTED KINGFISHER, The Belted Kingfisher is a medium-sized bird found in North and Central America. They have a distinctive blue-gray and white plumage and a shaggy crest on their head; and are known for their distinctive rattling calls and fishing abilities.
BIRD OF PARADISE, The Birds of Paradise are a family of brightly colored birds found in New Guinea and surrounding islands. They are known for their elaborate and flamboyant plumage and courtship displays; and are considered some of the most beautiful birds in the world.
